0	0	0	0	0
0	204	482	673	857
1	192	466	658	849
2	195	338	551	757
3	305	440	730	1018
4	283	424	703	1001
5	297	432	728	1017
6	284	420	703	993
7	297	432	734	1019
8	289	424	713	999
9	284	420	716	1016
10	303	438	722	1015
11	289	424	704	987
12	290	426	716	1006
13	286	421	719	1012
14	228	364	647	932
15	97	233	529	823
16	96	231	515	798
17	97	232	528	818
18	97	233	525	818
19	96	232	525	814
20	97	232	459	689
21	96	232	328	425
22	97	232	333	431
23	96	232	329	425
24	97	232	328	425
25	96	231	328	424
26	97	232	328	425
27	96	425	522	618
28	97	500	597	694
29	97	517	613	710
30	96	492	589	685
31	97	345	441	537
31	0	0	0	0
